Alabama,3438
Alaska,534
Arizona,4178
Arkansas,2147
California,23212
Colorado,3532
Connecticut,2585
Delaware,574
District of Columbia,450
Florida,11442
Georgia,5533
Hawaii,875
Idaho,963
Illinois,9691
Indiana,4814
Iowa,2630
Kansas,2351
Kentucky,3285
Louisiana,3471
Maine,1086
Maryland,3926
Massachusetts,4985
Michigan,8205
Minnesota,4111
Mississippi,2164
Missouri,4506
Montana,842
Nebraska,1633
Nevada,1836
New Hampshire,922
New Jersey,6320
New Mexico,1449
New York,15464
North Carolina,6155
North Dakota,572
Ohio,9238
Oklahoma,2965
Oregon,2634
Pennsylvania,9740
Puerto Rico,2594
Rhode Island,815
South Carolina,3059
South Dakota,654
Tennessee,4125
Texas,15811
Utah,1690
Vermont,522
Virginia,5332
Washington,4783
West Virginia,1592
Wisconsin,4489
Wyoming,410
